Year,Name,Frequency,Rank
1980,Codi,1,835
1980,Cody-Lee,1,835
1980,Colburn,1,835
1980,Coleby,1,835
1980,Colen,1,835
1980,Collyn,1,835
1980,Colter,1,835
1980,Cong,1,835
1980,Constantine,1,835
1980,Corbet,1,835
1980,Corbett,1,835
1980,Corbin,1,835
1980,Cord,1,835
1980,Corie,1,835
1980,Corny,1,835
1980,Corrie,1,835
1980,Corry,1,835
1980,Cortney,1,835
1980,Corwin,1,835
1980,Corwyn,1,835
1980,Courtenay,1,835
1980,Craighton,1,835
1980,Creig,1,835
1980,Cresten,1,835
1980,Cristan,1,835
1980,Cristian,1,835
1980,Cristobal,1,835
1980,Cristos,1,835
1980,Cullen,1,835
1980,Cuyler,1,835
1980,Dacen,1,835
1980,Daeton,1,835
1980,Dagen,1,835
1980,Daigen,1,835
1980,Dain,1,835
1980,Daine,1,835
1980,Dakota,1,835
1980,Dallen,1,835
1980,Dameon,1,835
1980,Damion,1,835
1980,Dan,1,835
1980,Dane,1,835
1980,Danel,1,835
1980,Danen,1,835
1980,Danial,1,835
1980,Dannel,1,835
1980,Danny-Jacobus,1,835
1980,Dara,1,835
1980,Darcey,1,835
1980,D'Arcy,1,835
1980,Daren,1,835
1980,Darion,1,835
1980,Darnell,1,835
1980,Daron,1,835
1980,Darran,1,835
1980,Darris,1,835
1980,Darron,1,835
1980,Daryel,1,835
1980,Dausen,1,835
1980,Daven,1,835
1980,Dave-Rene,1,835
1980,Davinder,1,835
1980,Daxter,1,835
1980,Dayan,1,835
1980,Dayna,1,835
1980,Dayne,1,835
1980,Deane,1,835
1980,Dean-Paul,1,835
1980,Deapen,1,835
1980,Declan,1,835
1980,Deepak,1,835
1980,Deepraj,1,835
1980,Degan,1,835
1980,Deifante,1,835
1980,Delmond,1,835
1980,Delray,1,835
1980,Delwyn,1,835
1980,Demasti,1,835
1980,Demian,1,835
1980,Demitrios,1,835
1980,Demitrius,1,835
1980,Dennie,1,835
1980,Denver,1,835
1980,Derik,1,835
1980,Derrill,1,835
1980,Desi,1,835
1980,Detlef,1,835
1980,Devinder,1,835
1980,Devlin,1,835
1980,Dewey,1,835
1980,Dhamanjit,1,835
